domena,ID reg,ID drzitela,Stav domeny,NS1,NS2,NS3,NS4,datum exspiracie
rogers.sk,WEBG-0001,ROGE-0004,OK,ns1.nameserver.sk,ns2.nameserver.sk,ns1.dnsbackup.net,ns2.dnsbackup.net,31.10.2020
rogi.sk,WEBG-0001,ROGI-0003,OK,ns1.nameserver.sk,ns2.nameserver.sk,ns1.dnsbackup.net,ns2.dnsbackup.net,23.10.2020
rohace.sk,WEBG-0001,OBEC-0396,OK,ns1.nameserver.sk,ns2.nameserver.sk,ns1.dnsbackup.net,ns2.dnsbackup.net,14.10.2021
rohacka.sk,WEBS-0001,WS-76193,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,22.10.2020
roidmi.sk,ISKI-0001,FORPSI-S145547,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,29.10.2020
rokaagency.sk,WEBS-0001,WS-65901,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,17.04.2020
rokla.sk,ELBI-0002,ELB-8KEG8TS9AA0W,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,22.12.2019
rokodiamonds.sk,ISKI-0001,FORPSI-S677907,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,22.10.2020
rokogips.sk,WEBS-0001,WS-810,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,28.10.2020
rokprevencie.sk,WEBS-0001,WS-57088,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,09.05.2020
roled.sk,WEBS-0001,WS-12540,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,29.10.2020
rolela.sk,ISKI-0001,FORPSI-S599191,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,30.08.2020
rolf-x.sk,WEBS-0001,WS-4635,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,05.11.2020
rollandzcirca.sk,WEBS-0001,WS-19270,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,19.10.2020
rolldent.sk,ISKI-0001,FORPSI-S405927,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,30.08.2020
rollfourtwenty.sk,WEBS-0001,WS-66182,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,24.04.2020
rolsit.sk,ISKI-0001,FORPSI-S643489,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,07.09.2020
roltrac.sk,ISKI-0001,FORPSI-S240225,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,09.09.2020
romanbobak.sk,ELBI-0002,ELB-44K1YZL26D4D,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,21.07.2020
romankyska.sk,WEBS-0001,WS-15599,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,04.11.2020
romboid.sk,ISKI-0001,FORPSI-S676808,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,07.10.2020
romerystyle.sk,WEBS-0001,WS-45542,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,27.07.2020
romskaagentura.sk,WEBS-0001,RMSK-0080,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,26.10.2020
romskymagazin.sk,ISKI-0001,FORPSI-S206935,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,25.06.2020
roncatoczsk.sk,ISKI-0001,FORPSI-S627606,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,12.11.2019
ronim.sk,WEBS-0001,WS-67426,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,16.05.2020
ronin.sk,WEBS-0001,WS-68872,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,11.03.2021
rooibos.sk,WEBS-0001,WS-60340,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,30.04.2020
roominprague.sk,ISKI-0001,FORPSI-S590447,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,08.09.2020
rootstudio.sk,WEBS-0001,WS-6406,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,30.10.2020
ropesystems.sk,WEBS-0001,WS-66627,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,02.05.2020
roreal.sk,WEBG-0001,RORE-0001,OK,ns1.nic.sk,ns2.nic.sk,ns3.nic.sk,ns4.nic.sk,10.11.2020
rosarium.sk,WEBG-0001,ACCC-0001-3959,OK,ns1.nameserver.sk,ns2.nameserver.sk,ns1.dnsbackup.net,ns2.dnsbackup.net,09.11.2020
rosedream.sk,WEBS-0001,WS-26094,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,18.04.2020
rosesdelivery.sk,WEBS-0001,WS-65582,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,07.04.2020
rosetta.sk,WEBS-0001,WS-1625,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,01.11.2020
rosifashion.sk,WEBS-0001,WS-1983,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,03.11.2020
rosifun.sk,WEBG-0001,ROSI-0008-4567,OK,ns1.nic.sk,ns2.nic.sk,ns3.nic.sk,ns4.nic.sk,28.10.2020
rossco.sk,ISKI-0001,ESOL-0003,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,ns.forpsi.us,27.09.2020
